id	name	code	prcent_total_youth	utilisation_internet
410	Korea, Republic of	KOR	99.6	84.77
414	Kuwait	KWT	55.8	75.46
417	Kyrgyzstan	KGZ	30.5	23.4
418	Lao People's Democratic Republic	LAO	4.2	12.5
428	Latvia	LVA	97	75.2344
422	Lebanon	LBN	40.1	70.5
426	Lesotho	LSO	8.5	5
430	Liberia	LBR	1.6	4.6
434	Libya	LBY	11.4	16.5
440	Lithuania	LTU	92.7	68.4529
442	Luxembourg	LUX	88.5	93.7765
807	Macedonia, the former Yugoslav Republic of	MKD	67.5	61.2
450	Madagascar	MDG	1.9	2.2
454	Malawi	MWI	2.6	5.4
458	Malaysia	MYS	74.7	66.97
466	Mali	MLI	2.3	2.3
478	Mauritania	MRT	3.7	6.2
484	Mexico	MEX	43.3	43.46
498	Moldova, Republic of	MDA	45.6	48.8
496	Mongolia	MNG	20.7	17.7
499	Montenegro	MNE	60.1	56.8
504	Morocco	MAR	45.8	56
508	Mozambique	MOZ	2.5	5.4
104	Myanmar	MMR		1.2
516	Namibia	NAM	11.5	13.9
524	Nepal	NPL	3.7	13.3
528	Netherlands	NLD	98.4	93.9564
540	New Caledonia	NCL		66
554	New Zealand	NZL	94.8	82.78
558	Nicaragua	NIC	9.8	15.5
562	Niger	NER	1.3	1.7
566	Nigeria	NGA	16	38
578	Norway	NOR	93.3	95.0534
512	Oman	OMN	26	66.45
586	Pakistan	PAK	16	10.9
275	Palestinian Territory, Occupied			
591	Panama	PAN	46	42.9
598	Papua New Guinea	PNG	4.6	6.5
600	Paraguay	PRY	19.5	36.9
604	Peru	PER	52.1	39.2
608	Philippines	PHL	14.1	37
616	Poland	POL	89.4	62.8492
620	Portugal	PRT	86.7	62.0956
630	Puerto Rico	PRI		73.9
634	Qatar	QAT	38.6	85.3
642	Romania	ROU	60.1	49.7645
643	Russian Federation	RUS	49.6	61.4
646	Rwanda	RWA	5.4	8.7
682	Saudi Arabia	SAU	59	60.5
686	Senegal	SEN	18	20.9
688	Serbia	SRB	62.8	51.5
694	Sierra Leone	SLE	0.9	1.7
703	Slovakia	SVK	92.9	77.8826
705	Slovenia	SVN	92.3	72.6756
90	Solomon Islands	SLB	5	8
706	Somalia	SOM	3.1	1.5
710	South Africa	ZAF	18.6	48.9
728	South Sudan	SSD		
724	Spain	ESP	84.6	71.5719
144	Sri Lanka	LKA	9.5	21.9
729	Sudan	SDN	19.9	22.7
740	Suriname	SUR	31.6	37.4
748	Swaziland	SWZ	9.9	24.7
752	Sweden	SWE	89.4	94.7836
756	Switzerland	CHE	94	86.7
760	Syrian Arab Republic	SYR	26.1	26.2
158	Taiwan, Province of China			
762	Tajikistan	TJK	19.2	16
834	Tanzania, United Republic of	TZA	16.9	4.4
764	Thailand	THA	42.3	28.94
626	Timor-Leste	TLS		1.1
768	Togo	TGO	5.5	4.5
780	Trinidad and Tobago	TTO	63.4	63.8
788	Tunisia	TUN	36.7	43.8
792	Turkey	TUR	53.7	46.25
795	Turkmenistan	TKM	3.7	9.6
800	Uganda	UGA	9	16.2
804	Ukraine	UKR	21.4	41.8
784	United Arab Emirates	ARE	56.6	88
826	United Kingdom	GBR	85.9	89.8441
840	United States	USA	95.6	84.2
858	Uruguay	URY	65.4	58.1
860	Uzbekistan	UZB	17.5	38.2
548	Vanuatu	VUT	15.8	11.3
862	Venezuela, Bolivarian Republic of	VEN	43.5	54.9
704	Viet Nam	VNM	43.6	43.9
732	Western Sahara			
887	Yemen	YEM	12	20
894	Zambia	ZMB	11.8	15.4
716	Zimbabwe	ZWE	25.1	18.5
